candidate,error_message
Michael P. Mullin,"No candidates found for search string ""Michael P. Mullin""."
Jerrauld Jones,"2 candidates found for search string ""Jerrauld Jones"". Please disambiguate."
Roz Tyler,"No candidates found for search string ""Roz Tyler""."
Karen Mallard,"2 candidates found for search string ""Karen Mallard"". Please disambiguate."
Rob Bloxom,"2 candidates found for search string ""Rob Bloxom"". Please disambiguate."
"R.C. Sullivan, Jr.","No candidates found for search string ""R.C. Sullivan, Jr.""."
