Candidate,VPAP link,Pro-candidate IE,Anti-candidate IE,Race,Gender,Age,Education,Military background,Occupation,First year in office (current chamber),Won / Lost,Incumbent status during election,Total raised
Jason Miyares,https://www.vpap.org/candidates/35057,0.0,0.0,Hispanic,Male,43,Law Degree,Non-Military,"Other / Consultant, Miyares Consulting Group",2016.0,True,True,352895.0
Lee Carter,https://www.vpap.org/candidates/280575,0.0,771.0,Caucasian,Male,32,Community College/Trade School,Veteran,Business People / IT Specialist,2018.0,True,True,508898.0
Shelly Simonds,https://www.vpap.org/candidates/106052,10372.0,0.0,Caucasian,Female,52,Master's Degree,Non-Military,Other / Property Manager,2020.0,True,False,1414077.0
David Yancey,https://www.vpap.org/candidates/165088,0.0,4834.0,Caucasian,Male,47,Bachelors Degree,Non-Military,"Business People / Real Estate Developer, JP Yancey Partnership",2012.0,False,True,666096.0
Barry Knight,https://www.vpap.org/candidates/87338,1153.0,4538.0,Caucasian,Male,65,High School or Less,Non-Military,Farmers/Agriculture / Farmer,2009.0,True,True,524577.0
Richard Hayden,https://www.vpap.org/candidates/333277,0.0,0.0,,,,,,,,False,False,18478.0
Kevin Washington,https://www.vpap.org/candidates/338583,0.0,0.0,,,,,,,,False,False,89165.0
Kathy Tran,https://www.vpap.org/candidates/289614,0.0,273.0,Asian,Female,40,Master's Degree,Non-Military,Other / Workforce Policy Consultant,2018.0,True,True,559696.0
Mark Cole,https://www.vpap.org/candidates/35256,13179.0,0.0,Caucasian,Male,61,Bachelors Degree,Veteran,"Educators / Local Govt Employee, County of Spotsylvania",2002.0,True,True,88823.0
Keith Hodges,https://www.vpap.org/candidates/54884,0.0,0.0,Caucasian,Male,53,Bachelors Degree,Non-Military,"Medical Professions / Pharmacist, Gloucester Pharmacy",2012.0,True,True,75912.0
Steve Heretick,https://www.vpap.org/candidates/34197,0.0,0.0,Caucasian,Male,59,Law Degree,Non-Military,"Lawyers / Attorney, Heretick Law",2016.0,True,True,160283.0
Mary Kastelberg,https://www.vpap.org/candidates/330260,31826.0,11001.0,,,,,,,,False,False,1077519.0
Nick Bell,https://www.vpap.org/candidates/331655,0.0,0.0,,,,,,,,False,False,185339.0
Bill Drennan,https://www.vpap.org/candidates/330982,0.0,0.0,,,,,,,,False,False,22845.0
Francis Edwards,https://www.vpap.org/candidates/289708,0.0,0.0,,,,,,,,False,False,311657.0
Colleen Holcomb,https://www.vpap.org/candidates/328240,336.0,7003.0,,,,,,,,False,False,135293.0
Steve Adragna,https://www.vpap.org/candidates/25373,559.0,0.0,,,,,,,,False,False,88051.0
Chris Stolle,https://www.vpap.org/candidates/93007,997.0,4596.0,Caucasian,Male,61,Medical Doctor,Veteran,"Medical Professions / Physician, Riverside Health System",2010.0,False,True,1157720.0
Glenn Davis,https://www.vpap.org/candidates/84659,406.0,7264.0,Caucasian,Male,46,High School or Less,Non-Military,"Business People / On Call Holdings International, On Call Holdings International LLC",2014.0,True,True,467050.0
Rocky Holcomb,https://www.vpap.org/candidates/98014,22389.0,7411.0,,,,,,,,False,False,908330.0
Chris Jones,https://www.vpap.org/candidates/26133,357.0,5896.0,Caucasian,Male,61,Bachelors Degree,Non-Military,"Medical Professions / Pharmacist, Bennett's Creek Pharmacy",1998,False,True,1207424.0
Amanda Batten,https://www.vpap.org/candidates/309907,17564.0,0.0,Caucasian,Female,40,Bachelors Degree,Non-Military,Other,2020,True,False,133731.0
Jim Evans,https://www.vpap.org/candidates/343545,0.0,0.0,,,,,,,,False,False,20953.0
Mark Levine,https://www.vpap.org/candidates/248271,0.0,23.0,Caucasian,Male,53,Law Degree,Non-Military,Lawyers / Attorney,2016,True,True,146801.0
